pt_date,pd_segment,tenor,odr_loan
2023-05-31,Digital_KPL,102,0
2023-05-31,Digital_KPL,132,0
2023-05-31,Digital_KPL,61,0
2023-05-31,Digital_KPL,165,0
2023-05-31,Digital_KPL,43,0
2023-05-31,Digital_KPL,144,0
2023-05-31,Digital_KPL,120,0
2023-05-31,Digital_KPL,45,0
2023-05-31,Digital_KPL,85,0
2023-05-31,Digital_KPL,98,0
2023-05-31,Digital_KPL,178,0
2023-05-31,Digital_KPL,179,0
2023-05-31,Digital_KPL,108,0
2023-05-31,Digital_KPL,71,0
2023-05-31,Digital_KPL,46,0
2023-05-31,Digital_KPL,130,0
2023-05-31,Digital_KPL,53,0
2023-05-31,Digital_KPL,103,0
2023-05-31,Digital_KPL,29,0
2023-05-31,Digital_KPL,174,0
2023-05-31,Digital_KPL,32,0
2023-05-31,Digital_KPL,69,0
2023-05-31,Digital_KPL,141,0
2023-05-31,Digital_KPL,22,0
2023-05-31,Digital_KPL,164,0
2023-05-31,Digital_KPL,175,0
2023-05-31,Digital_KPL,105,0
2023-05-31,Digital_KPL,31,0
2023-05-31,Digital_KPL,95,0
2023-05-31,Digital_KPL,34,0
2023-05-31,Digital_KPL,116,0
2023-05-31,Digital_KPL,57,0
2023-05-31,Digital_KPL,25,0
2023-05-31,Digital_KPL,80,0
2023-05-31,Digital_KPL,91,0
2023-05-31,Digital_KPL,17,0
2023-05-31,Digital_KPL,82,0
2023-05-31,Digital_KPL,44,0
2023-05-31,Digital_KPL,93,0
2023-05-31,Digital_KPL,156,0
2023-05-31,Digital_KPL,54,0
2023-05-31,Digital_KPL,115,0
2023-05-31,Digital_KPL,36,0
2023-05-31,Digital_KPL,28,0
2023-05-31,Digital_KPL,18,0
2023-05-31,Digital_KPL,24,0
2023-05-31,Digital_KPL,42,0
2023-05-31,Digital_KPL,13,0
2023-05-31,Digital_KPL,50,0
2023-05-31,Digital_KPL,23,0
2023-05-31,Digital_KPL,56,0
2023-05-31,Digital_KPL,47,0
2023-05-31,Digital_KPL,68,0
2023-05-31,Digital_KPL,86,0
2023-05-31,Digital_KPL,58,0
2023-05-31,Digital_KPL,62,0
2023-05-31,Digital_KPL,38,0
2023-05-31,Digital_KPL,60,0
2023-04-30,Digital_KPL,67,0
2023-04-30,Digital_KPL,109,0
2023-04-30,Digital_KPL,179,0
2023-04-30,Digital_KPL,69,0
2023-05-31,Digital_KPL,119,0
2023-05-31,Digital_KPL,143,0
2023-05-31,Digital_KPL,117,0
2023-06-30,Digital_KPL,179,0
2023-06-30,Digital_KPL,109,0
2023-06-30,Digital_KPL,82,0
2023-06-30,Digital_KPL,67,0
2023-07-31,Digital_KPL,82,0
2023-07-31,Digital_KPL,67,0
2023-08-31,Digital_KPL,69,0
2023-08-31,Digital_KPL,109,0
2023-08-31,Digital_KPL,67,0
2023-08-31,Digital_KPL,179,0
2023-08-31,Digital_KPL,82,0
2023-04-30,Digital_KPL,132,0
2023-06-30,Digital_KPL,132,0
2023-07-31,Digital_KPL,132,0
2023-08-31,Digital_KPL,132,0
2023-04-30,Digital_KPL,130,0
2023-06-30,Digital_KPL,130,0
2023-07-31,Digital_KPL,130,0
2023-08-31,Digital_KPL,130,0
2023-04-30,Digital_KPL,156,0
2023-04-30,Digital_KPL,97,0
2023-04-30,Digital_KPL,83,0
2023-04-30,Digital_KPL,143,0
2023-04-30,Digital_KPL,55,0
2023-04-30,Digital_KPL,174,0
2023-04-30,Digital_KPL,164,0
2023-04-30,Digital_KPL,93,0
2023-04-30,Digital_KPL,177,0
2023-04-30,Digital_KPL,47,0
2023-04-30,Digital_KPL,53,0
2023-04-30,Digital_KPL,103,0
2023-04-30,Digital_KPL,79,0
2023-04-30,Digital_KPL,71,0
2023-04-30,Digital_KPL,153,0
2023-04-30,Digital_KPL,57,0
2023-04-30,Digital_KPL,119,0
2023-04-30,Digital_KPL,35,0
2023-04-30,Digital_KPL,140,0
2023-04-30,Digital_KPL,91,0
2023-04-30,Digital_KPL,142,0
2023-04-30,Digital_KPL,49,0
2023-04-30,Digital_KPL,115,0
2023-04-30,Digital_KPL,99,0
2023-04-30,Digital_KPL,45,0
2023-04-30,Digital_KPL,101,0
2023-04-30,Digital_KPL,33,0
2023-04-30,Digital_KPL,61,0
2023-04-30,Digital_KPL,81,0
2023-04-30,Digital_KPL,178,0
2023-04-30,Digital_KPL,175,0
2023-04-30,Digital_KPL,141,0
2023-04-30,Digital_KPL,118,0
2023-04-30,Digital_KPL,70,0
2023-04-30,Digital_KPL,43,0
2023-04-30,Digital_KPL,166,0
2023-04-30,Digital_KPL,139,0
2023-04-30,Digital_KPL,75,0
2023-04-30,Digital_KPL,102,0
2023-04-30,Digital_KPL,85,0
2023-04-30,Digital_KPL,105,0
2023-04-30,Digital_KPL,86,0
2023-04-30,Digital_KPL,94,0
2023-04-30,Digital_KPL,74,0
2023-04-30,Digital_KPL,165,0
2023-04-30,Digital_KPL,37,0
2023-04-30,Digital_KPL,154,0
2023-06-30,Digital_KPL,142,0
2023-06-30,Digital_KPL,165,0
2023-06-30,Digital_KPL,154,0
2023-06-30,Digital_KPL,35,0
2023-06-30,Digital_KPL,98,0
2023-06-30,Digital_KPL,49,0
2023-06-30,Digital_KPL,102,0
2023-06-30,Digital_KPL,71,0
2023-06-30,Digital_KPL,99,0
2023-06-30,Digital_KPL,153,0
2023-06-30,Digital_KPL,61,0
2023-06-30,Digital_KPL,75,0
2023-06-30,Digital_KPL,105,0
2023-06-30,Digital_KPL,97,0
2023-06-30,Digital_KPL,141,0
2023-06-30,Digital_KPL,156,0
2023-06-30,Digital_KPL,177,0
2023-06-30,Digital_KPL,45,0
2023-06-30,Digital_KPL,53,0
2023-06-30,Digital_KPL,143,0
2023-06-30,Digital_KPL,91,0
2023-06-30,Digital_KPL,175,0
2023-06-30,Digital_KPL,74,0
2023-06-30,Digital_KPL,139,0
2023-06-30,Digital_KPL,83,0
2023-06-30,Digital_KPL,47,0
2023-06-30,Digital_KPL,164,0
2023-06-30,Digital_KPL,118,0
2023-06-30,Digital_KPL,85,0
2023-06-30,Digital_KPL,37,0
2023-06-30,Digital_KPL,79,0
2023-06-30,Digital_KPL,55,0
2023-06-30,Digital_KPL,94,0
2023-06-30,Digital_KPL,43,0
2023-06-30,Digital_KPL,101,0
2023-06-30,Digital_KPL,140,0
2023-06-30,Digital_KPL,95,0
2023-06-30,Digital_KPL,33,0
2023-06-30,Digital_KPL,119,0
2023-06-30,Digital_KPL,174,0
2023-06-30,Digital_KPL,59,0
2023-06-30,Digital_KPL,93,0
2023-06-30,Digital_KPL,103,0
2023-06-30,Digital_KPL,166,0
2023-07-31,Digital_KPL,57,0
2023-07-31,Digital_KPL,164,0
2023-07-31,Digital_KPL,71,0
2023-07-31,Digital_KPL,117,0
2023-07-31,Digital_KPL,140,0
2023-07-31,Digital_KPL,85,0
2023-07-31,Digital_KPL,141,0
2023-07-31,Digital_KPL,118,0
2023-07-31,Digital_KPL,180,0
2023-07-31,Digital_KPL,143,0
2023-07-31,Digital_KPL,59,0
2023-07-31,Digital_KPL,49,0
2023-07-31,Digital_KPL,139,0
2023-07-31,Digital_KPL,47,0
2023-07-31,Digital_KPL,177,0
2023-07-31,Digital_KPL,55,0
2023-07-31,Digital_KPL,65,0
2023-07-31,Digital_KPL,98,0
2023-07-31,Digital_KPL,81,0
2023-07-31,Digital_KPL,142,0
2023-07-31,Digital_KPL,79,0
2023-07-31,Digital_KPL,61,0
2023-07-31,Digital_KPL,178,0
2023-07-31,Digital_KPL,43,0
2023-07-31,Digital_KPL,101,0
2023-07-31,Digital_KPL,83,0
2023-07-31,Digital_KPL,175,0
2023-07-31,Digital_KPL,93,0
2023-07-31,Digital_KPL,33,0
2023-07-31,Digital_KPL,115,0
2023-07-31,Digital_KPL,35,0
2023-07-31,Digital_KPL,37,0
2023-07-31,Digital_KPL,154,0
2023-07-31,Digital_KPL,102,0
2023-07-31,Digital_KPL,94,0
2023-07-31,Digital_KPL,86,0
2023-07-31,Digital_KPL,99,0
2023-07-31,Digital_KPL,153,0
2023-07-31,Digital_KPL,75,0
2023-07-31,Digital_KPL,165,0
2023-07-31,Digital_KPL,174,0
2023-07-31,Digital_KPL,95,0
2023-07-31,Digital_KPL,45,0
2023-07-31,Digital_KPL,156,0
2023-08-31,Digital_KPL,115,0
2023-08-31,Digital_KPL,45,0
2023-08-31,Digital_KPL,47,0
2023-08-31,Digital_KPL,142,0
2023-08-31,Digital_KPL,118,0
2023-08-31,Digital_KPL,59,0
2023-08-31,Digital_KPL,53,0
2023-08-31,Digital_KPL,61,0
2023-08-31,Digital_KPL,93,0
2023-08-31,Digital_KPL,71,0
2023-08-31,Digital_KPL,105,0
2023-08-31,Digital_KPL,165,0
2023-08-31,Digital_KPL,70,0
2023-08-31,Digital_KPL,101,0
2023-08-31,Digital_KPL,177,0
2023-08-31,Digital_KPL,99,0
2023-08-31,Digital_KPL,156,0
2023-08-31,Digital_KPL,95,0
2023-08-31,Digital_KPL,74,0
2023-08-31,Digital_KPL,81,0
2023-08-31,Digital_KPL,98,0
2023-08-31,Digital_KPL,117,0
2023-08-31,Digital_KPL,65,0
2023-08-31,Digital_KPL,103,0
2023-08-31,Digital_KPL,97,0
2023-08-31,Digital_KPL,43,0
2023-08-31,Digital_KPL,86,0
2023-08-31,Digital_KPL,49,0
2023-08-31,Digital_KPL,83,0
2023-08-31,Digital_KPL,153,0
2023-08-31,Digital_KPL,35,0
2023-08-31,Digital_KPL,102,0
2023-08-31,Digital_KPL,141,0
2023-08-31,Digital_KPL,33,0
2023-08-31,Digital_KPL,57,0
2023-08-31,Digital_KPL,91,0
2023-08-31,Digital_KPL,174,0
2023-08-31,Digital_KPL,119,0
2023-08-31,Digital_KPL,178,0
2023-08-31,Digital_KPL,166,0
2023-08-31,Digital_KPL,85,0
2023-08-31,Digital_KPL,175,0
2023-07-31,Digital_PYL,24,0
2023-08-31,Digital_PYL,6,0
2023-08-31,Digital_PYL,24,0
2023-08-31,Digital_PYL,12,0
2023-08-31,Digital_PYL,18,0
2023-04-30,Digital_KPL,128,0
2023-06-30,Digital_KPL,128,0
2023-07-31,Digital_KPL,128,0
2023-08-31,Digital_KPL,128,0
2022-05-31,Digital_SCL,12,0
2022-05-31,Digital_SCL,3,0
2022-05-31,Digital_SCL,6,0
2023-05-31,Digital_KPL,20,0
2023-05-31,Digital_AKL,3,0
2023-05-31,Digital_EML,24,0
2023-05-31,Digital_EAL,4,0
2023-05-31,Digital_RCL,1,0
2023-05-31,Digital_RCL,3,0
2023-05-31,Digital_KPL,30,0
2023-05-31,Digital_EAL,8,0
2023-05-31,Digital_RCL,4,0
2023-05-31,Digital_KPL,48,0
2023-05-31,Digital_KPL,21,0
2023-05-31,Digital_AKL,1,0
2021-06-30,Digital_SPL,6,0
2021-06-30,Digital_SPL,12,0
2021-06-30,Digital_SPL,1,0
2021-06-30,Digital_SPL,3,0
2021-07-31,Digital_SPL,12,0
2021-07-31,Digital_SPL,3,0
2021-07-31,Digital_SPL,1,0
2021-07-31,Digital_SPL,6,0
2021-08-31,Digital_SPL,6,0
2021-08-31,Digital_SPL,3,0
2021-08-31,Digital_SPL,12,0
2021-09-30,Digital_BCL,3,0
2021-09-30,Digital_BCL,6,0
2021-10-31,Digital_SPL,1,0
2021-10-31,Digital_BCL,3,0
2021-10-31,Digital_BCL,12,0
2021-10-31,Digital_BCL,6,0
2021-11-30,Digital_BCL,3,0
2021-11-30,Digital_SPL,1,0
2021-11-30,Digital_BCL,12,0
2021-11-30,Digital_BCL,6,0
2021-12-31,Digital_BCL,12,0
2021-12-31,Digital_BCL,3,0
2021-12-31,Digital_BCL,6,0
2022-07-31,Digital_SCL,3,0
2023-03-31,Digital_KPL,19,0
2023-03-31,Digital_KPL,23,0
2023-04-30,Digital_KPL,144,0
2023-04-30,Digital_RCL,1,0
2023-04-30,Digital_KPL,28,0
2023-04-30,Digital_KPL,38,0
2023-04-30,Digital_KPL,42,0
2023-04-30,Digital_EML,14,0
2023-04-30,Digital_EML,36,0
2023-04-30,Digital_KPL,18,0
2023-04-30,Digital_EML,24,0
2023-04-30,Digital_KPL,20,0
2023-04-30,Digital_AKL,6,0
2023-04-30,Digital_EML,60,0
2023-04-30,Digital_KPL,25,0
2023-04-30,Digital_AKL,3,0
2023-04-30,Digital_KPL,116,0
2023-04-30,Digital_EML,16,0
2023-04-30,Digital_KPL,68,0
2023-04-30,Digital_KPL,12,0
2023-04-30,Digital_KPL,60,0
2023-04-30,Digital_KPL,46,0
2023-04-30,Digital_KPL,104,0
2023-04-30,Digital_KPL,22,0
2023-04-30,Digital_EML,28,0
2023-04-30,Digital_KPL,176,0
2023-04-30,Digital_KPL,152,0
2023-04-30,Digital_KPL,108,0
2023-04-30,Digital_EML,12,0
2023-04-30,Digital_KPL,62,0
2023-04-30,Digital_EAL,8,0
2023-04-30,Digital_EML,25,0
2023-04-30,Digital_EML,23,0
2023-04-30,Digital_EML,48,0
2023-04-30,Digital_AKL,1,0
2023-04-30,Digital_KPL,48,0
2023-04-30,Digital_EML,26,0
2023-04-30,Digital_KPL,100,0
2023-04-30,Digital_KPL,17,0
2023-04-30,Digital_KPL,80,0
2023-04-30,Digital_EML,29,0
2023-04-30,Digital_KPL,72,0
2023-04-30,Digital_EML,10,0
2023-04-30,Digital_KPL,96,0
2023-04-30,Digital_KPL,54,0
2023-04-30,Digital_KPL,44,0
2023-04-30,Digital_KPL,56,0
2023-04-30,Digital_KPL,36,0
2023-04-30,Digital_KPL,14,0
2023-04-30,Digital_EAL,4,0
2023-04-30,Digital_KPL,24,0
2023-04-30,Digital_KPL,84,0
2023-04-30,Digital_KPL,19,0
2023-04-30,Digital_KPL,34,0
2023-04-30,Digital_EML,27,0
2023-04-30,Digital_KPL,21,0
2023-04-30,Digital_RCL,3,0
2023-04-30,Digital_KPL,13,0
2023-04-30,Digital_KPL,32,0
2023-06-30,Digital_EML,16,0
2023-06-30,Digital_EML,60,0
2023-06-30,Digital_KPL,80,0
2023-06-30,Digital_KPL,24,0
2023-06-30,Digital_KPL,19,0
2023-06-30,Digital_KPL,60,0
2023-06-30,Digital_KPL,48,0
2023-06-30,Digital_KPL,108,0
2023-06-30,Digital_RCL,3,0
2023-06-30,Digital_KPL,21,0
2023-06-30,Digital_KPL,56,0
2023-06-30,Digital_KPL,58,0
2023-06-30,Digital_KPL,36,0
2023-06-30,Digital_KPL,26,0
2023-06-30,Digital_KPL,29,0
2023-06-30,Digital_KPL,68,0
2023-06-30,Digital_KPL,120,0
2023-06-30,Digital_KPL,30,0
2023-06-30,Digital_KPL,84,0
2023-06-30,Digital_EML,21,0
2023-06-30,Digital_KPL,14,0
2023-06-30,Digital_KPL,31,0
2023-06-30,Digital_EML,23,0
2023-06-30,Digital_KPL,116,0
2023-06-30,Digital_KPL,32,0
2023-06-30,Digital_KPL,25,0
2023-06-30,Digital_KPL,20,0
2023-06-30,Digital_EML,24,0
2023-06-30,Digital_KPL,96,0
2023-06-30,Digital_EML,36,0
2023-06-30,Digital_EML,26,0
2023-06-30,Digital_EAL,8,0
2023-06-30,Digital_KPL,104,0
2023-06-30,Digital_KPL,152,0
2023-06-30,Digital_KPL,22,0
2023-06-30,Digital_EML,25,0
2023-06-30,Digital_KPL,17,0
2023-06-30,Digital_KPL,44,0
2023-06-30,Digital_KPL,18,0
2023-06-30,Digital_EML,12,0
2023-06-30,Digital_KPL,144,0
2023-06-30,Digital_KPL,42,0
2023-06-30,Digital_KPL,34,0
2023-06-30,Digital_AKL,3,0
2023-06-30,Digital_KPL,28,0
2023-06-30,Digital_AKL,1,0
2023-06-30,Digital_EAL,4,0
2023-06-30,Digital_EML,14,0
2023-06-30,Digital_KPL,72,0
2023-06-30,Digital_EML,28,0
2023-06-30,Digital_KPL,46,0
2023-06-30,Digital_KPL,54,0
2023-06-30,Digital_KPL,38,0
2023-06-30,Digital_AKL,6,0
2023-06-30,Digital_KPL,62,0
2023-06-30,Digital_KPL,176,0
2023-06-30,Digital_KPL,23,0
2023-07-31,Digital_KPL,21,0
2023-07-31,Digital_KPL,116,0
2023-07-31,Digital_KPL,176,0
2023-07-31,Digital_KPL,152,0
2023-07-31,Digital_KPL,22,0
2023-07-31,Digital_KPL,120,0
2023-07-31,Digital_KPL,60,0
2023-07-31,Digital_KPL,72,0
2023-07-31,Digital_KPL,46,0
2023-07-31,Digital_KPL,30,0
2023-07-31,Digital_EML,26,0
2023-07-31,Digital_EML,29,0
2023-07-31,Digital_EML,36,0
2023-07-31,Digital_EML,48,0
2023-07-31,Digital_KPL,14,0
2023-07-31,Digital_AKL,3,0
2023-07-31,Digital_EML,21,0
2023-07-31,Digital_KPL,24,0
2023-07-31,Digital_KPL,44,0
2023-07-31,Digital_KPL,42,0
2023-07-31,Digital_KPL,29,0
2023-07-31,Digital_EML,23,0
2023-07-31,Digital_KPL,25,0
2023-07-31,Digital_EML,28,0
2023-07-31,Digital_KPL,100,0
2023-07-31,Digital_KPL,80,0
2023-07-31,Digital_EML,24,0
2023-07-31,Digital_KPL,12,0
2023-07-31,Digital_KPL,144,0
2023-07-31,Digital_AKL,1,0
2023-07-31,Digital_KPL,32,0
2023-07-31,Digital_KPL,26,0
2023-07-31,Digital_KPL,104,0
2023-07-31,Digital_EML,16,0
2023-07-31,Digital_EML,60,0
2023-07-31,Digital_RCL,1,0
2023-07-31,Digital_SPL,24,0
2023-07-31,Digital_AKL,9,0
2023-07-31,Digital_EAL,6,0
2023-07-31,Digital_KPL,56,0
2023-07-31,Digital_KPL,31,0
2023-07-31,Digital_EML,25,0
2023-07-31,Digital_KPL,34,0
2023-07-31,Digital_KPL,84,0
2023-07-31,Digital_KPL,68,0
2023-07-31,Digital_KPL,28,0
2023-07-31,Digital_KPL,58,0
2023-07-31,Digital_EML,14,0
2023-07-31,Digital_KPL,50,0
2023-07-31,Digital_KPL,18,0
2023-07-31,Digital_KPL,19,0
2023-07-31,Digital_KPL,17,0
2023-07-31,Digital_SPL,18,0
2023-07-31,Digital_KPL,38,0
2023-07-31,Digital_KPL,20,0
2023-07-31,Digital_KPL,48,0
2023-07-31,Digital_KPL,36,0
2023-07-31,Digital_KPL,54,0
2023-07-31,Digital_KPL,108,0
2023-08-31,Digital_KPL,60,0
2023-08-31,Digital_KPL,46,0
2023-08-31,Digital_KPL,24,0
2023-08-31,Digital_KPL,42,0
2023-08-31,Digital_EML,12,0
2023-08-31,Digital_EML,24,0
2023-08-31,Digital_KPL,176,0
2023-08-31,Digital_KPL,96,0
2023-08-31,Digital_KPL,62,0
2023-08-31,Digital_KPL,36,0
2023-08-31,Digital_KPL,44,0
2023-08-31,Digital_KPL,152,0
2023-08-31,Digital_KPL,23,0
2023-08-31,Digital_KPL,50,0
2023-08-31,Digital_EAL,6,0
2023-08-31,Digital_EML,14,0
2023-08-31,Digital_KPL,108,0
2023-08-31,Digital_KPL,26,0
2023-08-31,Digital_EML,26,0
2023-08-31,Digital_KPL,34,0
2023-08-31,Digital_EML,29,0
2023-08-31,Digital_KPL,18,0
2023-08-31,Digital_KPL,30,0
2023-08-31,Digital_KPL,25,0
2023-08-31,Digital_KPL,20,0
2023-08-31,Digital_KPL,22,0
2023-08-31,Digital_KPL,29,0
2023-08-31,Digital_EML,60,0
2023-08-31,Digital_AKL,1,0
2023-08-31,Digital_KPL,58,0
2023-08-31,Digital_EML,28,0
2023-08-31,Digital_KPL,38,0
2023-08-31,Digital_KPL,144,0
2023-08-31,Digital_KPL,68,0
2023-08-31,Digital_SPL,24,0
2023-08-31,Digital_EML,21,0
2023-08-31,Digital_KPL,116,0
2023-08-31,Digital_KPL,84,0
2023-08-31,Digital_KPL,13,0
2023-08-31,Digital_KPL,32,0
2023-08-31,Digital_KPL,31,0
2023-08-31,Digital_AKL,9,0
2023-08-31,Digital_KPL,100,0
2023-08-31,Digital_KPL,54,0
2023-08-31,Digital_KPL,56,0
2023-08-31,Digital_EML,23,0
2023-08-31,Digital_SPL,18,0
2023-08-31,Digital_KPL,80,0
2023-08-31,Digital_EML,16,0
2023-08-31,Digital_KPL,17,0
2023-08-31,Digital_KPL,14,0
2023-08-31,Digital_EML,48,0
2023-08-31,Digital_KPL,48,0
2023-08-31,Digital_EML,36,0
2023-08-31,Digital_KPL,21,0
2023-08-31,Digital_KPL,104,0
2023-08-31,Digital_KPL,120,0
2023-05-31,Digital_RCL,2,0
2023-05-31,Digital_AKL,2,0
2023-05-31,Digital_EAL,2,0
2021-09-30,Digital_BCL,2,0
2021-10-31,Digital_BCL,2,0
2021-11-30,Digital_BCL,2,0
2021-12-31,Digital_BCL,2,0
2023-03-31,Digital_RCL,2,0
2023-04-30,Digital_AKL,2,0
2023-04-30,Digital_RCL,2,0
2023-06-30,Digital_AKL,2,0
2023-08-31,Digital_EAL,2,0
