scenario,product,tenor,period,bucket
BEST,Digital_BCL,12,24,2
BEST,Digital_BCL,12,24,3
BEST,Digital_BCL,12,24,4
BEST,Digital_BCL,12,24,5
BEST,Digital_BCL,12,25,1
BEST,Digital_BCL,12,25,2
BEST,Digital_BCL,12,25,3
BEST,Digital_BCL,12,25,4
BEST,Digital_BCL,12,25,5
BEST,Digital_BCL,12,26,1
BEST,Digital_BCL,12,26,2
BEST,Digital_BCL,12,26,3
BEST,Digital_BCL,12,26,4
BEST,Digital_BCL,12,26,5
BEST,Digital_BCL,12,27,1
BEST,Digital_BCL,12,27,2
BEST,Digital_BCL,12,27,3
BEST,Digital_BCL,12,27,4
BEST,Digital_BCL,12,27,5
BEST,Digital_BCL,12,28,1
BEST,Digital_BCL,12,28,2
BEST,Digital_BCL,12,28,3
BEST,Digital_BCL,12,28,4
BEST,Digital_BCL,12,28,5
BEST,Digital_BCL,12,29,1
BEST,Digital_BCL,12,29,2
BEST,Digital_BCL,12,29,3
BEST,Digital_BCL,12,29,4
BEST,Digital_BCL,12,29,5
BEST,Digital_BCL,12,30,1
BEST,Digital_BCL,12,30,2
BEST,Digital_BCL,12,30,3
BEST,Digital_BCL,12,30,4
BEST,Digital_BCL,12,30,5
BEST,Digital_BCL,12,31,1
BEST,Digital_BCL,12,31,2
BEST,Digital_BCL,12,31,3
BEST,Digital_BCL,12,31,4
BEST,Digital_BCL,12,31,5
BEST,Digital_BCL,12,32,1
BEST,Digital_BCL,12,32,2
BEST,Digital_BCL,12,32,3
BEST,Digital_BCL,12,32,4
BEST,Digital_BCL,12,32,5
BEST,Digital_BCL,12,33,1
BEST,Digital_BCL,12,33,2
BEST,Digital_BCL,12,33,3
BEST,Digital_BCL,12,33,4
BEST,Digital_BCL,12,33,5
BEST,Digital_BCL,12,34,1
BEST,Digital_BCL,12,34,2
BEST,Digital_BCL,12,34,3
BEST,Digital_BCL,12,34,4
BEST,Digital_BCL,12,34,5
BEST,Digital_BCL,12,35,1
BEST,Digital_BCL,12,35,2
BEST,Digital_BCL,12,35,3
BEST,Digital_BCL,12,35,4
BEST,Digital_BCL,12,35,5
BEST,Digital_BCL,12,36,1
BEST,Digital_BCL,12,36,2
BEST,Digital_BCL,12,36,3
BEST,Digital_BCL,12,36,4
BEST,Digital_BCL,12,36,5
WORST,Digital_BCL,3,1,1
WORST,Digital_BCL,3,1,2
WORST,Digital_BCL,3,1,3
WORST,Digital_BCL,3,1,4
WORST,Digital_BCL,3,1,5
WORST,Digital_BCL,3,2,1
WORST,Digital_BCL,3,2,2
WORST,Digital_BCL,3,2,3
WORST,Digital_BCL,3,2,4
WORST,Digital_BCL,3,2,5
WORST,Digital_BCL,3,3,1
WORST,Digital_BCL,3,3,2
WORST,Digital_BCL,3,3,3
WORST,Digital_BCL,3,3,4
WORST,Digital_BCL,3,3,5
WORST,Digital_BCL,3,4,1
WORST,Digital_BCL,3,4,2
WORST,Digital_BCL,3,4,3
WORST,Digital_BCL,3,4,4
WORST,Digital_BCL,3,4,5
WORST,Digital_BCL,3,5,1
WORST,Digital_BCL,3,5,2
WORST,Digital_BCL,3,5,3
WORST,Digital_BCL,3,5,4
WORST,Digital_BCL,3,5,5
WORST,Digital_BCL,3,6,1
WORST,Digital_BCL,3,6,2
WORST,Digital_BCL,3,6,3
WORST,Digital_BCL,3,6,4
WORST,Digital_BCL,3,6,5
WORST,Digital_BCL,3,7,1
WORST,Digital_BCL,3,7,2
WORST,Digital_BCL,3,7,3
WORST,Digital_BCL,3,7,4
WORST,Digital_BCL,3,7,5
WORST,Digital_BCL,3,8,1
WORST,Digital_BCL,3,8,2
WORST,Digital_BCL,3,8,3
WORST,Digital_BCL,3,8,4
WORST,Digital_BCL,3,8,5
WORST,Digital_BCL,3,9,1
WORST,Digital_BCL,3,9,2
WORST,Digital_BCL,3,9,3
WORST,Digital_BCL,3,9,4
WORST,Digital_BCL,3,9,5
WORST,Digital_BCL,3,10,1
WORST,Digital_BCL,3,10,2
WORST,Digital_BCL,3,10,3
WORST,Digital_BCL,3,10,4
WORST,Digital_BCL,3,10,5
WORST,Digital_BCL,3,11,1
WORST,Digital_BCL,3,11,2
WORST,Digital_BCL,3,11,3
WORST,Digital_BCL,3,11,4
WORST,Digital_BCL,3,11,5
WORST,Digital_BCL,3,12,1
WORST,Digital_BCL,3,12,2
WORST,Digital_BCL,3,12,3
WORST,Digital_BCL,3,12,4
WORST,Digital_BCL,3,12,5
WORST,Digital_BCL,3,13,1
WORST,Digital_BCL,3,13,2
WORST,Digital_BCL,3,13,3
WORST,Digital_BCL,3,13,4
WORST,Digital_BCL,3,13,5
WORST,Digital_BCL,3,14,1
WORST,Digital_BCL,3,14,2
WORST,Digital_BCL,3,14,3
WORST,Digital_BCL,3,14,4
WORST,Digital_BCL,3,14,5
WORST,Digital_BCL,3,15,1
WORST,Digital_BCL,3,15,2
WORST,Digital_BCL,3,15,3
WORST,Digital_BCL,3,15,4
WORST,Digital_BCL,3,15,5
WORST,Digital_BCL,3,16,1
WORST,Digital_BCL,3,16,2
WORST,Digital_BCL,3,16,3
WORST,Digital_BCL,3,16,4
WORST,Digital_BCL,3,16,5
WORST,Digital_BCL,3,17,1
WORST,Digital_BCL,3,17,2
WORST,Digital_BCL,3,17,3
WORST,Digital_BCL,3,17,4
WORST,Digital_BCL,3,17,5
WORST,Digital_BCL,3,18,1
WORST,Digital_BCL,3,18,2
WORST,Digital_BCL,3,18,3
WORST,Digital_BCL,3,18,4
WORST,Digital_BCL,3,18,5
WORST,Digital_BCL,3,19,1
WORST,Digital_BCL,3,19,2
WORST,Digital_BCL,3,19,3
WORST,Digital_BCL,3,19,4
WORST,Digital_BCL,3,19,5
WORST,Digital_BCL,3,20,1
WORST,Digital_BCL,3,20,2
WORST,Digital_BCL,3,20,3
WORST,Digital_BCL,3,20,4
WORST,Digital_BCL,3,20,5
WORST,Digital_BCL,3,21,1
WORST,Digital_BCL,3,21,2
WORST,Digital_BCL,3,21,3
WORST,Digital_BCL,3,21,4
WORST,Digital_BCL,3,21,5
WORST,Digital_BCL,3,22,1
WORST,Digital_BCL,3,22,2
WORST,Digital_BCL,3,22,3
WORST,Digital_BCL,3,22,4
WORST,Digital_BCL,3,22,5
WORST,Digital_BCL,3,23,1
WORST,Digital_BCL,3,23,2
WORST,Digital_BCL,3,23,3
WORST,Digital_BCL,3,23,4
WORST,Digital_BCL,3,23,5
WORST,Digital_BCL,3,24,1
WORST,Digital_BCL,3,24,2
WORST,Digital_BCL,3,24,3
WORST,Digital_BCL,3,24,4
WORST,Digital_BCL,3,24,5
WORST,Digital_BCL,3,25,1
WORST,Digital_BCL,3,25,2
WORST,Digital_BCL,3,25,3
WORST,Digital_BCL,3,25,4
WORST,Digital_BCL,3,25,5
WORST,Digital_BCL,3,26,1
WORST,Digital_BCL,3,26,2
WORST,Digital_BCL,3,26,3
WORST,Digital_BCL,3,26,4
WORST,Digital_BCL,3,26,5
WORST,Digital_BCL,3,27,1
WORST,Digital_BCL,3,27,2
WORST,Digital_BCL,3,27,3
WORST,Digital_BCL,3,27,4
WORST,Digital_BCL,3,27,5
WORST,Digital_BCL,3,28,1
WORST,Digital_BCL,3,28,2
WORST,Digital_BCL,3,28,3
WORST,Digital_BCL,3,28,4
WORST,Digital_BCL,3,28,5
WORST,Digital_BCL,3,29,1
WORST,Digital_BCL,3,29,2
WORST,Digital_BCL,3,29,3
WORST,Digital_BCL,3,29,4
WORST,Digital_BCL,3,29,5
WORST,Digital_BCL,3,30,1
WORST,Digital_BCL,3,30,2
WORST,Digital_BCL,3,30,3
WORST,Digital_BCL,3,30,4
WORST,Digital_BCL,3,30,5
WORST,Digital_BCL,3,31,1
WORST,Digital_BCL,3,31,2
WORST,Digital_BCL,3,31,3
WORST,Digital_BCL,3,31,4
WORST,Digital_BCL,3,31,5
WORST,Digital_BCL,3,32,1
WORST,Digital_BCL,3,32,2
WORST,Digital_BCL,3,32,3
WORST,Digital_BCL,3,32,4
WORST,Digital_BCL,3,32,5
WORST,Digital_BCL,3,33,1
WORST,Digital_BCL,3,33,2
WORST,Digital_BCL,3,33,3
WORST,Digital_BCL,3,33,4
WORST,Digital_BCL,3,33,5
WORST,Digital_BCL,3,34,1
WORST,Digital_BCL,3,34,2
WORST,Digital_BCL,3,34,3
WORST,Digital_BCL,3,34,4
WORST,Digital_BCL,3,34,5
WORST,Digital_BCL,3,35,1
WORST,Digital_BCL,3,35,2
WORST,Digital_BCL,3,35,3
WORST,Digital_BCL,3,35,4
WORST,Digital_BCL,3,35,5
WORST,Digital_BCL,3,36,1
WORST,Digital_BCL,3,36,2
WORST,Digital_BCL,3,36,3
WORST,Digital_BCL,3,36,4
WORST,Digital_BCL,3,36,5
WORST,Digital_BCL,6,1,1
WORST,Digital_BCL,6,1,2
WORST,Digital_BCL,6,1,3
WORST,Digital_BCL,6,1,4
WORST,Digital_BCL,6,1,5
WORST,Digital_BCL,6,2,1
WORST,Digital_BCL,6,2,2
WORST,Digital_BCL,6,2,3
WORST,Digital_BCL,6,2,4
WORST,Digital_BCL,6,2,5
WORST,Digital_BCL,6,3,1
WORST,Digital_BCL,6,3,2
WORST,Digital_BCL,6,3,3
WORST,Digital_BCL,6,3,4
WORST,Digital_BCL,6,3,5
WORST,Digital_BCL,6,4,1
WORST,Digital_BCL,6,4,2
WORST,Digital_BCL,6,4,3
WORST,Digital_BCL,6,4,4
WORST,Digital_BCL,6,4,5
WORST,Digital_BCL,6,5,1
WORST,Digital_BCL,6,5,2
WORST,Digital_BCL,6,5,3
WORST,Digital_BCL,6,5,4
WORST,Digital_BCL,6,5,5
WORST,Digital_BCL,6,6,1
WORST,Digital_BCL,6,6,2
WORST,Digital_BCL,6,6,3
WORST,Digital_BCL,6,6,4
WORST,Digital_BCL,6,6,5
WORST,Digital_BCL,6,7,1
WORST,Digital_BCL,6,7,2
WORST,Digital_BCL,6,7,3
WORST,Digital_BCL,6,7,4
WORST,Digital_BCL,6,7,5
WORST,Digital_BCL,6,8,1
WORST,Digital_BCL,6,8,2
WORST,Digital_BCL,6,8,3
WORST,Digital_BCL,6,8,4
WORST,Digital_BCL,6,8,5
WORST,Digital_BCL,6,9,1
WORST,Digital_BCL,6,9,2
WORST,Digital_BCL,6,9,3
WORST,Digital_BCL,6,9,4
WORST,Digital_BCL,6,9,5
WORST,Digital_BCL,6,10,1
WORST,Digital_BCL,6,10,2
WORST,Digital_BCL,6,10,3
WORST,Digital_BCL,6,10,4
WORST,Digital_BCL,6,10,5
WORST,Digital_BCL,6,11,1
WORST,Digital_BCL,6,11,2
WORST,Digital_BCL,6,11,3
WORST,Digital_BCL,6,11,4
WORST,Digital_BCL,6,11,5
WORST,Digital_BCL,6,12,1
WORST,Digital_BCL,6,12,2
WORST,Digital_BCL,6,12,3
WORST,Digital_BCL,6,12,4
WORST,Digital_BCL,6,12,5
WORST,Digital_BCL,6,13,1
WORST,Digital_BCL,6,13,2
WORST,Digital_BCL,6,13,3
WORST,Digital_BCL,6,13,4
WORST,Digital_BCL,6,13,5
WORST,Digital_BCL,6,14,1
WORST,Digital_BCL,6,14,2
WORST,Digital_BCL,6,14,3
WORST,Digital_BCL,6,14,4
WORST,Digital_BCL,6,14,5
WORST,Digital_BCL,6,15,1
WORST,Digital_BCL,6,15,2
WORST,Digital_BCL,6,15,3
WORST,Digital_BCL,6,15,4
WORST,Digital_BCL,6,15,5
WORST,Digital_BCL,6,16,1
WORST,Digital_BCL,6,16,2
WORST,Digital_BCL,6,16,3
WORST,Digital_BCL,6,16,4
WORST,Digital_BCL,6,16,5
WORST,Digital_BCL,6,17,1
WORST,Digital_BCL,6,17,2
WORST,Digital_BCL,6,17,3
WORST,Digital_BCL,6,17,4
WORST,Digital_BCL,6,17,5
WORST,Digital_BCL,6,18,1
WORST,Digital_BCL,6,18,2
WORST,Digital_BCL,6,18,3
WORST,Digital_BCL,6,18,4
WORST,Digital_BCL,6,18,5
WORST,Digital_BCL,6,19,1
WORST,Digital_BCL,6,19,2
WORST,Digital_BCL,6,19,3
WORST,Digital_BCL,6,19,4
WORST,Digital_BCL,6,19,5
WORST,Digital_BCL,6,20,1
WORST,Digital_BCL,6,20,2
WORST,Digital_BCL,6,20,3
WORST,Digital_BCL,6,20,4
WORST,Digital_BCL,6,20,5
WORST,Digital_BCL,6,21,1
WORST,Digital_BCL,6,21,2
WORST,Digital_BCL,6,21,3
WORST,Digital_BCL,6,21,4
WORST,Digital_BCL,6,21,5
WORST,Digital_BCL,6,22,1
WORST,Digital_BCL,6,22,2
WORST,Digital_BCL,6,22,3
WORST,Digital_BCL,6,22,4
WORST,Digital_BCL,6,22,5
WORST,Digital_BCL,6,23,1
WORST,Digital_BCL,6,23,2
WORST,Digital_BCL,6,23,3
WORST,Digital_BCL,6,23,4
WORST,Digital_BCL,6,23,5
WORST,Digital_BCL,6,24,1
WORST,Digital_BCL,6,24,2
WORST,Digital_BCL,6,24,3
WORST,Digital_BCL,6,24,4
WORST,Digital_BCL,6,24,5
WORST,Digital_BCL,6,25,1
WORST,Digital_BCL,6,25,2
WORST,Digital_BCL,6,25,3
WORST,Digital_BCL,6,25,4
WORST,Digital_BCL,6,25,5
WORST,Digital_BCL,6,26,1
WORST,Digital_BCL,6,26,2
WORST,Digital_BCL,6,26,3
WORST,Digital_BCL,6,26,4
WORST,Digital_BCL,6,26,5
WORST,Digital_BCL,6,27,1
WORST,Digital_BCL,6,27,2
WORST,Digital_BCL,6,27,3
WORST,Digital_BCL,6,27,4
WORST,Digital_BCL,6,27,5
WORST,Digital_BCL,6,28,1
WORST,Digital_BCL,6,28,2
WORST,Digital_BCL,6,28,3
WORST,Digital_BCL,6,28,4
WORST,Digital_BCL,6,28,5
WORST,Digital_BCL,6,29,1
WORST,Digital_BCL,6,29,2
WORST,Digital_BCL,6,29,3
WORST,Digital_BCL,6,29,4
WORST,Digital_BCL,6,29,5
WORST,Digital_BCL,6,30,1
WORST,Digital_BCL,6,30,2
WORST,Digital_BCL,6,30,3
WORST,Digital_BCL,6,30,4
WORST,Digital_BCL,6,30,5
WORST,Digital_BCL,6,31,1
WORST,Digital_BCL,6,31,2
WORST,Digital_BCL,6,31,3
WORST,Digital_BCL,6,31,4
WORST,Digital_BCL,6,31,5
WORST,Digital_BCL,6,32,1
WORST,Digital_BCL,6,32,2
WORST,Digital_BCL,6,32,3
WORST,Digital_BCL,6,32,4
WORST,Digital_BCL,6,32,5
WORST,Digital_BCL,6,33,1
WORST,Digital_BCL,6,33,2
WORST,Digital_BCL,6,33,3
WORST,Digital_BCL,6,33,4
WORST,Digital_BCL,6,33,5
WORST,Digital_BCL,6,34,1
WORST,Digital_BCL,6,34,2
WORST,Digital_BCL,6,34,3
WORST,Digital_BCL,6,34,4
WORST,Digital_BCL,6,34,5
WORST,Digital_BCL,6,35,1
WORST,Digital_BCL,6,35,2
WORST,Digital_BCL,6,35,3
WORST,Digital_BCL,6,35,4
WORST,Digital_BCL,6,35,5
WORST,Digital_BCL,6,36,1
WORST,Digital_BCL,6,36,2
WORST,Digital_BCL,6,36,3
WORST,Digital_BCL,6,36,4
WORST,Digital_BCL,6,36,5
WORST,Digital_BCL,12,1,1
WORST,Digital_BCL,12,1,2
WORST,Digital_BCL,12,1,3
WORST,Digital_BCL,12,1,4
WORST,Digital_BCL,12,1,5
WORST,Digital_BCL,12,2,1
WORST,Digital_BCL,12,2,2
WORST,Digital_BCL,12,2,3
WORST,Digital_BCL,12,2,4
WORST,Digital_BCL,12,2,5
WORST,Digital_BCL,12,3,1
WORST,Digital_BCL,12,3,2
WORST,Digital_BCL,12,3,3
WORST,Digital_BCL,12,3,4
WORST,Digital_BCL,12,3,5
WORST,Digital_BCL,12,4,1
WORST,Digital_BCL,12,4,2
WORST,Digital_BCL,12,4,3
WORST,Digital_BCL,12,4,4
WORST,Digital_BCL,12,4,5
WORST,Digital_BCL,12,5,1
WORST,Digital_BCL,12,5,2
WORST,Digital_BCL,12,5,3
WORST,Digital_BCL,12,5,4
WORST,Digital_BCL,12,5,5
WORST,Digital_BCL,12,6,1
WORST,Digital_BCL,12,6,2
WORST,Digital_BCL,12,6,3
WORST,Digital_BCL,12,6,4
WORST,Digital_BCL,12,6,5
WORST,Digital_BCL,12,7,1
WORST,Digital_BCL,12,7,2
WORST,Digital_BCL,12,7,3
WORST,Digital_BCL,12,7,4
WORST,Digital_BCL,12,7,5
WORST,Digital_BCL,12,8,1
WORST,Digital_BCL,12,8,2
WORST,Digital_BCL,12,8,3
WORST,Digital_BCL,12,8,4
WORST,Digital_BCL,12,8,5
WORST,Digital_BCL,12,9,1
WORST,Digital_BCL,12,9,2
WORST,Digital_BCL,12,9,3
WORST,Digital_BCL,12,9,4
WORST,Digital_BCL,12,9,5
WORST,Digital_BCL,12,10,1
WORST,Digital_BCL,12,10,2
WORST,Digital_BCL,12,10,3
WORST,Digital_BCL,12,10,4
WORST,Digital_BCL,12,10,5
WORST,Digital_BCL,12,11,1
WORST,Digital_BCL,12,11,2
WORST,Digital_BCL,12,11,3
WORST,Digital_BCL,12,11,4
WORST,Digital_BCL,12,11,5
WORST,Digital_BCL,12,12,1
WORST,Digital_BCL,12,12,2
WORST,Digital_BCL,12,12,3
WORST,Digital_BCL,12,12,4
WORST,Digital_BCL,12,12,5
WORST,Digital_BCL,12,13,1
WORST,Digital_BCL,12,13,2
WORST,Digital_BCL,12,13,3
WORST,Digital_BCL,12,13,4
WORST,Digital_BCL,12,13,5
WORST,Digital_BCL,12,14,1
WORST,Digital_BCL,12,14,2
WORST,Digital_BCL,12,14,3
WORST,Digital_BCL,12,14,4
WORST,Digital_BCL,12,14,5
WORST,Digital_BCL,12,15,1
WORST,Digital_BCL,12,15,2
WORST,Digital_BCL,12,15,3
WORST,Digital_BCL,12,15,4
WORST,Digital_BCL,12,15,5
WORST,Digital_BCL,12,16,1
WORST,Digital_BCL,12,16,2
WORST,Digital_BCL,12,16,3
WORST,Digital_BCL,12,16,4
WORST,Digital_BCL,12,16,5
WORST,Digital_BCL,12,17,1
WORST,Digital_BCL,12,17,2
WORST,Digital_BCL,12,17,3
WORST,Digital_BCL,12,17,4
WORST,Digital_BCL,12,17,5
WORST,Digital_BCL,12,18,1
WORST,Digital_BCL,12,18,2
WORST,Digital_BCL,12,18,3
WORST,Digital_BCL,12,18,4
WORST,Digital_BCL,12,18,5
WORST,Digital_BCL,12,19,1
WORST,Digital_BCL,12,19,2
WORST,Digital_BCL,12,19,3
WORST,Digital_BCL,12,19,4
WORST,Digital_BCL,12,19,5
WORST,Digital_BCL,12,20,1
WORST,Digital_BCL,12,20,2
WORST,Digital_BCL,12,20,3
WORST,Digital_BCL,12,20,4
WORST,Digital_BCL,12,20,5
WORST,Digital_BCL,12,21,1
WORST,Digital_BCL,12,21,2
WORST,Digital_BCL,12,21,3
WORST,Digital_BCL,12,21,4
WORST,Digital_BCL,12,21,5
WORST,Digital_BCL,12,22,1
WORST,Digital_BCL,12,22,2
WORST,Digital_BCL,12,22,3
WORST,Digital_BCL,12,22,4
WORST,Digital_BCL,12,22,5
WORST,Digital_BCL,12,23,1
WORST,Digital_BCL,12,23,2
WORST,Digital_BCL,12,23,3
WORST,Digital_BCL,12,23,4
WORST,Digital_BCL,12,23,5
WORST,Digital_BCL,12,24,1
WORST,Digital_BCL,12,24,2
WORST,Digital_BCL,12,24,3
WORST,Digital_BCL,12,24,4
WORST,Digital_BCL,12,24,5
WORST,Digital_BCL,12,25,1
WORST,Digital_BCL,12,25,2
WORST,Digital_BCL,12,25,3
WORST,Digital_BCL,12,25,4
WORST,Digital_BCL,12,25,5
WORST,Digital_BCL,12,26,1
WORST,Digital_BCL,12,26,2
WORST,Digital_BCL,12,26,3
WORST,Digital_BCL,12,26,4
WORST,Digital_BCL,12,26,5
WORST,Digital_BCL,12,27,1
WORST,Digital_BCL,12,27,2
WORST,Digital_BCL,12,27,3
WORST,Digital_BCL,12,27,4
WORST,Digital_BCL,12,27,5
WORST,Digital_BCL,12,28,1
WORST,Digital_BCL,12,28,2
WORST,Digital_BCL,12,28,3
WORST,Digital_BCL,12,28,4
WORST,Digital_BCL,12,28,5
WORST,Digital_BCL,12,29,1
WORST,Digital_BCL,12,29,2
WORST,Digital_BCL,12,29,3
WORST,Digital_BCL,12,29,4
WORST,Digital_BCL,12,29,5
WORST,Digital_BCL,12,30,1
WORST,Digital_BCL,12,30,2
WORST,Digital_BCL,12,30,3
WORST,Digital_BCL,12,30,4
WORST,Digital_BCL,12,30,5
WORST,Digital_BCL,12,31,1
WORST,Digital_BCL,12,31,2
WORST,Digital_BCL,12,31,3
WORST,Digital_BCL,12,31,4
WORST,Digital_BCL,12,31,5
WORST,Digital_BCL,12,32,1
WORST,Digital_BCL,12,32,2
WORST,Digital_BCL,12,32,3
WORST,Digital_BCL,12,32,4
WORST,Digital_BCL,12,32,5
WORST,Digital_BCL,12,33,1
WORST,Digital_BCL,12,33,2
WORST,Digital_BCL,12,33,3
WORST,Digital_BCL,12,33,4
WORST,Digital_BCL,12,33,5
WORST,Digital_BCL,12,34,1
WORST,Digital_BCL,12,34,2
WORST,Digital_BCL,12,34,3
WORST,Digital_BCL,12,34,4
WORST,Digital_BCL,12,34,5
WORST,Digital_BCL,12,35,1
WORST,Digital_BCL,12,35,2
WORST,Digital_BCL,12,35,3
WORST,Digital_BCL,12,35,4
WORST,Digital_BCL,12,35,5
WORST,Digital_BCL,12,36,1
WORST,Digital_BCL,12,36,2
WORST,Digital_BCL,12,36,3
WORST,Digital_BCL,12,36,4
WORST,Digital_BCL,12,36,5
BASE,Digital_EAL,2,1,1
BASE,Digital_EAL,2,1,2
BASE,Digital_EAL,2,1,3
BASE,Digital_EAL,2,1,4
BASE,Digital_EAL,2,1,5
BASE,Digital_EAL,2,2,1
BASE,Digital_EAL,2,2,2
BASE,Digital_EAL,2,2,3
BASE,Digital_EAL,2,2,4
BASE,Digital_EAL,2,2,5
BASE,Digital_EAL,2,3,1
BASE,Digital_EAL,2,3,2
BASE,Digital_EAL,2,3,3
BASE,Digital_EAL,2,3,4
BASE,Digital_EAL,2,3,5
BASE,Digital_EAL,2,4,1
BASE,Digital_EAL,2,4,2
BASE,Digital_EAL,2,4,3
BASE,Digital_EAL,2,4,4
BASE,Digital_EAL,2,4,5
BASE,Digital_EAL,2,5,1
BASE,Digital_EAL,2,5,2
BASE,Digital_EAL,2,5,3
BASE,Digital_EAL,2,5,4
BASE,Digital_EAL,2,5,5
BASE,Digital_EAL,2,6,1
BASE,Digital_EAL,2,6,2
BASE,Digital_EAL,2,6,3
BASE,Digital_EAL,2,6,4
BASE,Digital_EAL,2,6,5
BASE,Digital_EAL,2,7,1
BASE,Digital_EAL,2,7,2
BASE,Digital_EAL,2,7,3
BASE,Digital_EAL,2,7,4
BASE,Digital_EAL,2,7,5
BASE,Digital_EAL,2,8,1
BASE,Digital_EAL,2,8,2
BASE,Digital_EAL,2,8,3
BASE,Digital_EAL,2,8,4
BASE,Digital_EAL,2,8,5
BASE,Digital_EAL,2,9,1
BASE,Digital_EAL,2,9,2
BASE,Digital_EAL,2,9,3
BASE,Digital_EAL,2,9,4
BASE,Digital_EAL,2,9,5
BASE,Digital_EAL,2,10,1
BASE,Digital_EAL,2,10,2
BASE,Digital_EAL,2,10,3
BASE,Digital_EAL,2,10,4
BASE,Digital_EAL,2,10,5
BASE,Digital_EAL,2,11,1
BASE,Digital_EAL,2,11,2
BASE,Digital_EAL,2,11,3
BASE,Digital_EAL,2,11,4
BASE,Digital_EAL,2,11,5
BASE,Digital_EAL,2,12,1
BASE,Digital_EAL,2,12,2
BASE,Digital_EAL,2,12,3
BASE,Digital_EAL,2,12,4
BASE,Digital_EAL,2,12,5
BASE,Digital_EAL,2,13,1
BASE,Digital_EAL,2,13,2
BASE,Digital_EAL,2,13,3
BASE,Digital_EAL,2,13,4
BASE,Digital_EAL,2,13,5
BASE,Digital_EAL,2,14,1
BASE,Digital_EAL,2,14,2
BASE,Digital_EAL,2,14,3
BASE,Digital_EAL,2,14,4
BASE,Digital_EAL,2,14,5
BASE,Digital_EAL,2,15,1
BASE,Digital_EAL,2,15,2
BASE,Digital_EAL,2,15,3
BASE,Digital_EAL,2,15,4
BASE,Digital_EAL,2,15,5
BASE,Digital_EAL,2,16,1
BASE,Digital_EAL,2,16,2
BASE,Digital_EAL,2,16,3
BASE,Digital_EAL,2,16,4
BASE,Digital_EAL,2,16,5
BASE,Digital_EAL,2,17,1
BASE,Digital_EAL,2,17,2
BASE,Digital_EAL,2,17,3
BASE,Digital_EAL,2,17,4
BASE,Digital_EAL,2,17,5
BASE,Digital_EAL,2,18,1
BASE,Digital_EAL,2,18,2
BASE,Digital_EAL,2,18,3
BASE,Digital_EAL,2,18,4
BASE,Digital_EAL,2,18,5
BASE,Digital_EAL,2,19,1
BASE,Digital_EAL,2,19,2
BASE,Digital_EAL,2,19,3
BASE,Digital_EAL,2,19,4
BASE,Digital_EAL,2,19,5
BASE,Digital_EAL,2,20,1
BASE,Digital_EAL,2,20,2
BASE,Digital_EAL,2,20,3
BASE,Digital_EAL,2,20,4
BASE,Digital_EAL,2,20,5
BASE,Digital_EAL,2,21,1
BASE,Digital_EAL,2,21,2
BASE,Digital_EAL,2,21,3
BASE,Digital_EAL,2,21,4
BASE,Digital_EAL,2,21,5
BASE,Digital_EAL,2,22,1
BASE,Digital_EAL,2,22,2
BASE,Digital_EAL,2,22,3
BASE,Digital_EAL,2,22,4
BASE,Digital_EAL,2,22,5
BASE,Digital_EAL,2,23,1
BASE,Digital_EAL,2,23,2
BASE,Digital_EAL,2,23,3
BASE,Digital_EAL,2,23,4
BASE,Digital_EAL,2,23,5
BASE,Digital_EAL,2,24,1
BASE,Digital_EAL,2,24,2
BASE,Digital_EAL,2,24,3
BASE,Digital_EAL,2,24,4
BASE,Digital_EAL,2,24,5
BASE,Digital_EAL,2,25,1
BASE,Digital_EAL,2,25,2
BASE,Digital_EAL,2,25,3
BASE,Digital_EAL,2,25,4
BASE,Digital_EAL,2,25,5
BASE,Digital_EAL,2,26,1
BASE,Digital_EAL,2,26,2
BASE,Digital_EAL,2,26,3
BASE,Digital_EAL,2,26,4
BASE,Digital_EAL,2,26,5
BASE,Digital_EAL,2,27,1
BASE,Digital_EAL,2,27,2
BASE,Digital_EAL,2,27,3
BASE,Digital_EAL,2,27,4
BASE,Digital_EAL,2,27,5
BASE,Digital_EAL,2,28,1
BASE,Digital_EAL,2,28,2
BASE,Digital_EAL,2,28,3
BASE,Digital_EAL,2,28,4
BASE,Digital_EAL,2,28,5
BASE,Digital_EAL,2,29,1
BASE,Digital_EAL,2,29,2
BASE,Digital_EAL,2,29,3
BASE,Digital_EAL,2,29,4
BASE,Digital_EAL,2,29,5
BASE,Digital_EAL,2,30,1
BASE,Digital_EAL,2,30,2
BASE,Digital_EAL,2,30,3
BASE,Digital_EAL,2,30,4
BASE,Digital_EAL,2,30,5
BASE,Digital_EAL,2,31,1
BASE,Digital_EAL,2,31,2
BASE,Digital_EAL,2,31,3
BASE,Digital_EAL,2,31,4
BASE,Digital_EAL,2,31,5
BASE,Digital_EAL,2,32,1
BASE,Digital_EAL,2,32,2
BASE,Digital_EAL,2,32,3
BASE,Digital_EAL,2,32,4
BASE,Digital_EAL,2,32,5
BASE,Digital_EAL,2,33,1
BASE,Digital_EAL,2,33,2
BASE,Digital_EAL,2,33,3
BASE,Digital_EAL,2,33,4
BASE,Digital_EAL,2,33,5
BASE,Digital_EAL,2,34,1
BASE,Digital_EAL,2,34,2
BASE,Digital_EAL,2,34,3
BASE,Digital_EAL,2,34,4
BASE,Digital_EAL,2,34,5
BASE,Digital_EAL,2,35,1
BASE,Digital_EAL,2,35,2
